"","bearyear.sampled","Bear.Id","Year","Follicles","Cortisol.kit","year.sampled","year.represent","bearyear.represent","sex","age","reprostatus.represent","CORT_corrected","fFOL"
"1032","W9504_1996","W9504",1996,2,1,1996,1995,"W9504_1995","F",2,"SolitaryF",3.76,"2"
"1033","W9504_1997","W9504",1997,0,1,1997,1996,"W9504_1996","F",3,"SolitaryF",3.44,"0"
"1034","W9504_2000","W9504",2000,2,1,2000,1999,"W9504_1999","F",6,"WithCubs",4.69,"2"
"1035","W9505_1996","W9505",1996,2,1,1996,1995,"W9505_1995","M",8,"SolitaryM",2.76,"2"
"1036","W9505_1997","W9505",1997,0,1,1997,1996,"W9505_1996","M",9,"SolitaryM",3.87,"0"
"1038","W9505_2004","W9505",2004,1,1,2004,2003,"W9505_2003","M",16,"SolitaryM",5.12,"1"
"1039","W9506_1995","W9506",1995,0,1,1995,1994,"W9506_1994","M",1,"WithMother",5.12,"0"
"1040","W9506_1997","W9506",1997,0,1,1997,1996,"W9506_1996","M",3,"SolitaryM",3.05,"0"
"1041","W9506_1998","W9506",1998,0,1,1998,1997,"W9506_1997","M",4,"SolitaryM",2.21,"0"
"1042","W9506_1999","W9506",1999,2,1,1999,1998,"W9506_1998","M",5,"SolitaryM",2.38,"2"
"1043","W9507_1995","W9507",1995,2,1,1995,1994,"W9507_1994","F",1,"WithMother",3.62,"2"
"1044","W9507_1996","W9507",1996,2,1,1996,1995,"W9507_1995","F",2,"SolitaryF",4.94,"2"
"1045","W9507_1997","W9507",1997,0,1,1997,1996,"W9507_1996","F",3,"SolitaryF",3.24,"0"
"1046","W9507_1998","W9507",1998,2,1,1998,1997,"W9507_1997","F",4,"SolitaryF",2.77,"2"
"1047","W9507_1999","W9507",1999,2,1,1999,1998,"W9507_1998","F",5,"SolitaryF",3.38,"2"
"1048","W9508_1995","W9508",1995,2,1,1995,1994,"W9508_1994","M",1,"WithMother",5.4,"2"
"1049","W9508_1996","W9508",1996,2,1,1996,1995,"W9508_1995","M",2,"SolitaryM",4.66,"2"
"1050","W9508_1997","W9508",1997,0,1,1997,1996,"W9508_1996","M",3,"SolitaryM",2.89,"0"
"1051","W9508_1998","W9508",1998,0,1,1998,1997,"W9508_1997","M",4,"SolitaryM",2.66,"0"
"1052","W9509_1995","W9509",1995,2,1,1995,1994,"W9509_1994","M",1,"WithMother",4.7,"2"
"1053","W9509_1996","W9509",1996,1,1,1996,1995,"W9509_1995","M",2,"SolitaryM",4.41,"1"
"1054","W9510_1995","W9510",1995,2,1,1995,1994,"W9510_1994","M",1,"WithMother",3.23,"2"
"1055","W9510_1996","W9510",1996,2,1,1996,1995,"W9510_1995","M",2,"SolitaryM",3.78,"2"
"1056","W9510_1997","W9510",1997,0,1,1997,1996,"W9510_1996","M",3,"SolitaryM",2.62,"0"
"1057","W9511_1996","W9511",1996,2,1,1996,1995,"W9511_1995","F",11,"SolitaryF",2.72,"2"
"1058","W9601_1996","W9601",1996,1,1,1996,1995,"W9601_1995","F",1,"WithMother",4.54,"1"
"1059","W9601_1997","W9601",1997,0,1,1997,1996,"W9601_1996","F",2,"SolitaryF",2.99,"0"
"1060","W9601_1998","W9601",1998,2,1,1998,1997,"W9601_1997","F",3,"SolitaryF",3.09,"2"
"1061","W9602_1996","W9602",1996,1,1,1996,1995,"W9602_1995","F",1,"WithMother",4.39,"1"
"1062","W9602_1997","W9602",1997,0,1,1997,1996,"W9602_1996","F",2,"SolitaryF",2.31,"0"
"1063","W9603_1996","W9603",1996,1,1,1996,1995,"W9603_1995","M",1,"WithMother",4,"1"
"1064","W9605_1996","W9605",1996,1,1,1996,1995,"W9605_1995","F",1,"WithMother",3.88,"1"
"1065","W9605_1997","W9605",1997,0,1,1997,1996,"W9605_1996","F",2,"WithMother",2.32,"0"
