,X,bearyear.sampled,Bear.ID,Year,Follicles,Cortisol.kit,year.sampled,year.represent,bearyear.represent,sex,age,Repro,HCC,fFOL,Zcort,Zage
305,513,W0904_2010,W0904,2010,2,2,2010,2009,W0904_2009,F,2,Offspring accompanying mother,4.92,2,-0.418397851,-0.677044447
306,514,W0904_2012,W0904,2012,2,2,2012,2011,W0904_2011,F,4,Solitary female,4.39,2,-0.567684314,-0.28108133
307,515,W0905_2009,W0905,2009,1,2,2009,2008,W0905_2008,M,1,Offspring accompanying mother,10.37,1,1.116717673,-0.875026006
308,516,W0906_2009,W0906,2009,1,2,2009,2008,W0906_2008,M,1,Offspring accompanying mother,11.67,1,1.482892018,-0.875026006
309,517,W0907_2009,W0907,2009,1,2,2009,2008,W0907_2008,M,1,Offspring accompanying mother,9.76,1,0.944897403,-0.875026006
310,518,W0907_2010,W0907,2010,2,2,2010,2009,W0907_2009,M,2,Offspring accompanying mother,6.46,2,0.015377912,-0.677044447
311,519,W0908_2009,W0908,2009,1,2,2009,2008,W0908_2008,M,1,Offspring accompanying mother,13,1,1.85751654,-0.875026006
312,520,W0908_2010,W0908,2010,1,2,2010,2009,W0908_2009,M,2,Offspring accompanying mother,5.52,1,-0.249394307,-0.677044447
313,521,W0908_2012,W0908,2012,1,2,2012,2011,W0908_2011,M,4,Solitary male,6.58,1,0.049178621,-0.28108133
314,522,W0908_2013,W0908,2013,1,2,2013,2012,W0908_2012,M,5,Solitary male,4.57,1,-0.516983251,-0.083099771
315,524,W0909_2009,W0909,2009,1,2,2009,2008,W0909_2008,M,1,Offspring accompanying mother,10.39,1,1.122351124,-0.875026006
316,525,W0909_2010,W0909,2010,1,2,2010,2009,W0909_2009,M,2,Offspring accompanying mother,6.74,1,0.094246233,-0.677044447
317,526,W0910_2009,W0910,2009,2,2,2009,2008,W0910_2008,M,1,Offspring accompanying mother,13.58,2,2.020886632,-0.875026006
318,527,W0910_2011,W0910,2011,2,2,2011,2010,W0910_2010,M,3,Solitary male,8.35,2,0.547739075,-0.479062889
319,528,W0910_2012,W0910,2012,1,2,2012,2011,W0910_2011,M,4,Solitary male,4.71,1,-0.477549091,-0.28108133
320,529,W0910_2013,W0910,2013,2,2,2013,2012,W0910_2012,M,5,Solitary male,2.75,2,-1.029627334,-0.083099771
321,531,W0911_2009,W0911,2009,1,2,2009,2008,W0911_2008,M,1,Offspring accompanying mother,15.55,1,2.575781601,-0.875026006
322,532,W0912_2009,W0912,2009,2,2,2009,2008,W0912_2008,M,1,Offspring accompanying mother,9.24,2,0.798427665,-0.875026006
323,533,W0915_2009,W0915,2009,1,2,2009,2008,W0915_2008,M,7,Solitary male,5.31,1,-0.308545547,0.312863347
324,534,W0916_2009,W0916,2009,2,2,2009,2008,W0916_2008,M,4,Solitary male,7.77,2,0.384368983,-0.28108133
325,535,W0917_2009,W0917,2009,1,2,2009,2008,W0917_2008,M,6,Solitary male,6.53,1,0.035094992,0.114881788
328,538,W1002_2010,W1002,2010,2,2,2010,2009,W1002_2009,M,1,Offspring accompanying mother,7.2,2,0.223815616,-0.875026006
329,539,W1003_2010,W1003,2010,2,2,2010,2009,W1003_2009,M,1,Offspring accompanying mother,6.64,2,0.066078975,-0.875026006
330,540,W1004_2010,W1004,2010,1,2,2010,2009,W1004_2009,M,1,Offspring accompanying mother,11.82,1,1.525142904,-0.875026006
331,541,W1005_2010,W1005,2010,2,2,2010,2009,W1005_2009,M,1,Offspring accompanying mother,11.77,2,1.511059275,-0.875026006
332,542,W1005_2011,W1005,2011,2,2,2011,2010,W1005_2010,M,2,Offspring accompanying mother,7.11,2,0.198465085,-0.677044447
333,543,W1006_2010,W1006,2010,2,2,2010,2009,W1006_2009,F,1,Offspring accompanying mother,9.59,2,0.897013066,-0.875026006
334,544,W1006_2011,W1006,2011,2,2,2011,2010,W1006_2010,F,2,Offspring accompanying mother,7.84,2,0.404086063,-0.677044447
335,545,W1007_2010,W1007,2010,2,2,2010,2009,W1007_2009,M,1,Offspring accompanying mother,8.89,2,0.699842265,-0.875026006
336,546,W1008_2010,W1008,2010,2,2,2010,2009,W1008_2009,M,1,Offspring accompanying mother,8.96,2,0.719559345,-0.875026006
337,547,W1009_2010,W1009,2010,2,2,2010,2009,W1009_2009,F,1,Offspring accompanying mother,12.87,2,1.820899106,-0.875026006
338,548,W1010_2010,W1010,2010,0,2,2010,2009,W1010_2009,M,1,Offspring accompanying mother,9.38,0,0.837861825,-0.875026006
339,549,W1010_2012,W1010,2012,1,2,2012,2011,W1010_2011,M,3,Solitary male,7.16,1,0.212548713,-0.479062889
340,550,W1011_2010,W1011,2010,1,2,2010,2009,W1011_2009,F,1,Offspring accompanying mother,8.78,1,0.668858282,-0.875026006
341,551,W1011_2013,W1011,2013,1,2,2013,2012,W1011_2012,F,4,Solitary female,4.34,1,-0.581767943,-0.28108133
342,555,W1012_2010,W1012,2010,1,2,2010,2009,W1012_2009,M,1,Offspring accompanying mother,10.2,1,1.068833335,-0.875026006
343,556,W1013_2010,W1013,2010,2,2,2010,2009,W1013_2009,M,1,Offspring accompanying mother,6.32,2,-0.024056248,-0.875026006
344,557,W1014_2010,W1014,2010,1,2,2010,2009,W1014_2009,M,1,Offspring accompanying mother,10.27,1,1.088550416,-0.875026006
345,558,W1015_2010,W1015,2010,1,2,2010,2009,W1015_2009,M,1,Offspring accompanying mother,9.34,1,0.826594923,-0.875026006
346,559,W1016_2010,W1016,2010,1,2,2010,2009,W1016_2009,M,1,Offspring accompanying mother,6.9,1,0.139313844,-0.875026006
347,560,W1017_2010,W1017,2010,1,2,2010,2009,W1017_2009,F,1,Offspring accompanying mother,7.9,1,0.420986417,-0.875026006
348,561,W1017_2013,W1017,2013,1,2,2013,2012,W1017_2012,F,4,Solitary female,4.93,1,-0.415581125,-0.28108133
349,563,W1017_2016,W1017,2016,0,2,2016,2015,W1017_2015,F,7,Female with dependent offspring,8.51,0,0.592806687,0.312863347
350,566,W1019_2010,W1019,2010,2,2,2010,2009,W1019_2009,M,6,Solitary male,5.01,2,-0.393047319,0.114881788
351,567,W1019_2011,W1019,2011,2,2,2011,2010,W1019_2010,M,7,Solitary male,7.21,2,0.226632342,0.312863347
352,568,W1019_2012,W1019,2012,0,2,2012,2011,W1019_2011,M,8,Solitary male,6.69,0,0.080162604,0.510844906
353,569,W1020_2010,W1020,2010,1,2,2010,2009,W1020_2009,M,6,Solitary male,3.42,1,-0.84090671,0.114881788
354,570,W1020_2011,W1020,2011,2,2,2011,2010,W1020_2010,M,7,Solitary male,7.71,2,0.367468628,0.312863347
355,571,W1101_2011,W1101,2011,2,2,2011,2010,W1101_2010,M,1,Offspring accompanying mother,8.52,2,0.595623413,-0.875026006
356,572,W1102_2011,W1102,2011,2,2,2011,2010,W1102_2010,M,1,Offspring accompanying mother,8.12,2,0.482954383,-0.875026006
357,573,W1103_2011,W1103,2011,2,2,2011,2010,W1103_2010,M,1,Offspring accompanying mother,8.1,2,0.477320932,-0.875026006
358,574,W1103_2012,W1103,2012,1,2,2012,2011,W1103_2011,M,2,Solitary male,4.25,1,-0.607118474,-0.677044447
359,575,W1103_2013,W1103,2013,0,2,2013,2012,W1103_2012,M,3,Solitary male,1.87,0,-1.277499198,-0.479062889
360,576,W1104_2011,W1104,2011,1,2,2011,2010,W1104_2010,F,1,Offspring accompanying mother,10.2,1,1.068833335,-0.875026006
361,577,W1105_2011,W1105,2011,1,2,2011,2010,W1105_2010,F,1,Offspring accompanying mother,9.67,1,0.919546872,-0.875026006
